"NP","PUMA","TEN","HICOV","POV","SP","HCB","SCHL","RACE"
2,"20301","Rented","1",0,1,37,"SC","White"
2,"20500","Owned/Free","1",0,0,12,"HS","White"
2,"20401","Rented","1",1,0,101,"HS","White"
2,"20500","Owned/Free","1",0,0,10,"HS","White"
1,"20201","Rented","1",0,0,29,"HS","White"
2,"20203","Owned/Mortgage","1",0,0,13,"C","White"
2,"20401","Rented","1",0,0,17,"C","White"
1,"20205","Rented","1",0,0,23,"C","Two or more"
3,"20604","Owned/Mortgage","1",0,0,16,"SC","White"
1,"20206","Owned/Mortgage","1",0,0,41,"SC","White"
2,"20201","Rented","1",0,0,21,"HS","White"
3,"20904","Owned/Mortgage","1",0,0,31,"C","White"
2,"20301","Rented","1",0,0,5,"HS","White"
5,"20201","Rented","1",0,0,36,"C","Two or more"
4,"20601","Rented","1",0,0,27,"SC","Two or more"
1,"20602","Owned/Mortgage","1",0,0,28,"HS","White"
3,"20604","Owned/Free","1",0,1,4,"C","White"
6,"20205","Owned/Mortgage","1",0,0,18,"C","White"
2,"20401","Rented","1",1,1,101,"HS","White"
1,"20402","Occupied","1",0,0,0,"HS","Other"
1,"20603","Owned/Mortgage","1",0,0,37,"C","White"
1,"20701","Owned/Free","1",0,0,29,"SC","White"
4,"20802","Owned/Mortgage","1",0,0,12,"C","White"
3,"20701","Owned/Mortgage","1",0,0,31,"SC","Two or more"
1,"20100","Owned/Mortgage","1",0,0,22,"C","White"
2,"20203","Owned/Mortgage","1",0,0,20,"HS","White"
2,"20703","Rented","1",0,1,47,"SC","White"
2,"20904","Owned/Free","1",0,0,18,"C","White"
1,"20602","Rented","1",0,0,20,"HS","White"
3,"20100","Owned/Free","1",0,1,7,"SC","White"
4,"20202","Owned/Mortgage","1",0,0,21,"C","White"
1,"20602","Owned/Mortgage","1",0,0,93,"HS","White"
2,"20901","Rented","1",0,0,16,"C","Black"
4,"20902","Owned/Mortgage","1",0,0,2,"C","White"
1,"20801","Owned/Free","1",0,0,26,"HS","White"
2,"20904","Occupied","1",0,0,0,"C","White"
4,"20207","Owned/Mortgage","1",0,0,7,"C","White"
4,"20203","Owned/Mortgage","1",0,0,32,"C","White"
2,"20401","Owned/Free","1",0,1,13,"C","White"
7,"20604","Owned/Mortgage","1",0,0,5,"HS","White"
3,"20500","Owned/Free","1",0,1,25,"SC","White"
3,"20801","Rented","1",0,1,11,"SC","Other"
1,"20902","Rented","1",0,0,27,"SC","Other"
3,"20301","Owned/Mortgage","1",0,0,12,"HS","Asian"
1,"20801","Rented","1",0,0,26,"HS","Two or more"
4,"20206","Owned/Mortgage","1",0,0,16,"C","White"
3,"20207","Owned/Mortgage","1",0,0,16,"C","White"
2,"20802","Rented","1",0,1,82,"HS","White"
2,"20602","Owned/Mortgage","1",0,0,16,"HS","Black"
2,"20100","Owned/Mortgage","1",0,1,90,"HS","White"
4,"20802","Owned/Mortgage","1",0,0,22,"C","White"
2,"20500","Rented","1",0,1,24,"HS","Two or more"
4,"20203","Owned/Mortgage","1",0,0,11,"HS","White"
1,"20604","Rented","1",0,0,82,"SC","White"
4,"20702","Owned/Mortgage","1",0,0,16,"C","White"
2,"20401","Rented","1",0,0,47,"SC","White"
3,"20402","Owned/Mortgage","1",0,0,20,"C","White"
2,"20902","Owned/Free","1",0,1,29,"C","White"
2,"20801","Owned/Free","1",0,1,40,"SC","Black"
1,"20802","Owned/Free","1",0,0,100,"HS","White"
2,"20603","Owned/Free","1",0,0,10,"C","White"
2,"20604","Owned/Free","1",0,0,18,"SC","White"
1,"20206","Rented","1",0,0,42,"SC","White"
2,"20602","Rented","1",0,1,25,"HS","White"
2,"20901","Rented","1",0,1,65,"SC","Other"
3,"20402","Rented","1",1,1,101,"SC","White"
2,"20500","Rented","1",1,1,101,"C","White"
1,"20402","Owned/Mortgage","1",0,0,30,"C","White"
1,"20301","Owned/Mortgage","1",0,0,27,"HS","White"
2,"20601","Owned/Mortgage","1",0,1,101,"C","White"
2,"20602","Rented","1",0,1,16,"HS","White"
4,"20904","Owned/Mortgage","1",0,0,78,"SC","White"
1,"20205","Owned/Mortgage","1",0,0,22,"SC","White"
1,"20402","Rented","1",0,0,18,"SC","White"
2,"20206","Owned/Mortgage","1",0,0,28,"SC","White"
1,"20100","Owned/Free","1",0,0,18,"C","White"
2,"20602","Owned/Free","1",0,0,34,"HS","White"
2,"20603","Owned/Mortgage","1",0,0,12,"C","White"
6,"20402","Owned/Mortgage","1",0,0,14,"SC","White"
1,"20500","Owned/Free","1",0,0,17,"SC","White"
2,"20601","Rented","1",1,0,101,"C","Asian"
2,"20903","Owned/Mortgage","1",0,0,25,"C","White"
1,"20206","Rented","1",0,0,43,"HS","Two or more"
3,"20201","Rented","1",0,1,18,"HS","Black"
2,"20500","Owned/Mortgage","1",0,0,26,"HS","White"
2,"20603","Owned/Free","1",0,0,11,"HS","White"
3,"20802","Owned/Mortgage","1",0,0,20,"HS","White"
1,"20500","Rented","1",0,0,41,"SC","White"
4,"20703","Owned/Free","1",0,0,12,"SC","Black"
1,"20206","Owned/Free","1",1,0,101,"HS","White"
3,"20903","Owned/Mortgage","1",0,0,23,"C","Two or more"
7,"20602","Owned/Mortgage","1",0,0,18,"HS","Asian"
3,"20203","Owned/Mortgage","1",0,0,10,"C","White"
2,"20401","Owned/Free","1",0,0,10,"C","White"
2,"20205","Owned/Free","1",0,0,13,"C","White"
4,"20402","Owned/Free","1",0,0,11,"HS","White"
2,"20602","Owned/Mortgage","1",0,0,18,"HS","White"
2,"20207","Owned/Mortgage","1",0,0,11,"C","White"
2,"20100","Owned/Free","1",0,0,8,"SC","White"
1,"20402","Owned/Mortgage","1",0,0,32,"C","White"
2,"20901","Rented","1",0,0,21,"C","White"
2,"20702","Owned/Mortgage","1",0,0,19,"C","White"
1,"20702","Rented","2",0,0,26,"SC","White"
1,"20500","Owned/Mortgage","1",0,0,23,"SC","White"
2,"20902","Owned/Mortgage","1",0,0,52,"C","White"
1,"20602","Owned/Mortgage","2",0,0,57,"C","White"
